# BACK RUA RLA LUA LLA
0.450 -0.648 0.298 0.538 0.079 -0.627 0.025 0.775 0.304 0.598 0.112 -0.733 0.680 -0.210 0.669 0.215 0.762 -0.163 0.624 -0.065 
0.436 -0.657 0.281 0.547 0.065 -0.629 0.010 0.775 0.319 0.599 0.126 -0.724 0.678 -0.224 0.662 0.227 0.764 -0.177 0.617 -0.057 
0.423 -0.665 0.263 0.557 0.049 -0.630 -0.006 0.775 0.338 0.597 0.141 -0.714 0.675 -0.239 0.655 0.240 0.766 -0.193 0.611 -0.045 
0.410 -0.671 0.246 0.566 0.030 -0.631 -0.022 0.775 0.357 0.593 0.158 -0.704 0.672 -0.255 0.648 0.253 0.768 -0.208 0.605 -0.030 
0.398 -0.677 0.231 0.574 0.011 -0.631 -0.038 0.774 0.379 0.587 0.175 -0.694 0.667 -0.269 0.641 0.266 0.769 -0.221 0.600 -0.014 
0.387 -0.682 0.216 0.582 -0.008 -0.630 -0.053 0.775 0.400 0.580 0.189 -0.684 0.663 -0.282 0.635 0.280 0.770 -0.231 0.595 0.002 
0.377 -0.686 0.204 0.588 -0.026 -0.629 -0.066 0.774 0.419 0.574 0.197 -0.675 0.657 -0.294 0.628 0.294 0.769 -0.239 0.592 0.022 
0.371 -0.689 0.193 0.593 -0.041 -0.627 -0.076 0.774 0.436 0.569 0.201 -0.668 0.650 -0.308 0.622 0.310 0.766 -0.250 0.590 0.046 
0.367 -0.690 0.186 0.596 -0.052 -0.626 -0.083 0.773 0.450 0.565 0.199 -0.662 0.641 -0.321 0.617 0.326 0.763 -0.264 0.586 0.073 
0.365 -0.691 0.179 0.597 -0.058 -0.626 -0.085 0.773 0.462 0.562 0.190 -0.659 0.629 -0.337 0.611 0.344 0.760 -0.280 0.578 0.100 
0.365 -0.692 0.177 0.597 -0.061 -0.626 -0.084 0.773 0.471 0.562 0.176 -0.657 0.617 -0.354 0.604 0.358 0.756 -0.299 0.568 0.128 
0.367 -0.692 0.178 0.596 -0.063 -0.627 -0.081 0.773 0.477 0.563 0.161 -0.655 0.611 -0.367 0.599 0.366 0.753 -0.317 0.556 0.154 
0.370 -0.692 0.181 0.593 -0.065 -0.628 -0.078 0.772 0.483 0.565 0.148 -0.653 0.608 -0.375 0.595 0.369 0.752 -0.328 0.546 0.171 
0.375 -0.690 0.187 0.590 -0.066 -0.629 -0.075 0.771 0.489 0.564 0.140 -0.650 0.607 -0.380 0.592 0.370 0.752 -0.336 0.537 0.179 
0.380 -0.688 0.194 0.587 -0.065 -0.630 -0.071 0.771 0.493 0.562 0.135 -0.649 0.608 -0.382 0.590 0.369 0.753 -0.343 0.532 0.181 
0.386 -0.685 0.204 0.583 -0.060 -0.630 -0.067 0.771 0.495 0.560 0.133 -0.650 0.610 -0.382 0.590 0.366 0.755 -0.347 0.528 0.176 
0.394 -0.682 0.216 0.577 -0.054 -0.630 -0.062 0.773 0.494 0.559 0.130 -0.653 0.612 -0.381 0.592 0.362 0.755 -0.352 0.527 0.170 
0.403 -0.677 0.231 0.571 -0.043 -0.629 -0.054 0.774 0.490 0.558 0.127 -0.657 0.615 -0.377 0.594 0.356 0.754 -0.357 0.527 0.161 
0.414 -0.668 0.247 0.567 -0.030 -0.627 -0.044 0.777 0.484 0.556 0.124 -0.664 0.619 -0.370 0.599 0.348 0.752 -0.361 0.530 0.150 
0.424 -0.661 0.264 0.560 -0.012 -0.625 -0.031 0.780 0.474 0.555 0.117 -0.673 0.625 -0.358 0.606 0.337 0.752 -0.359 0.536 0.132 
0.433 -0.656 0.282 0.550 0.006 -0.624 -0.015 0.781 0.461 0.557 0.106 -0.683 0.632 -0.343 0.616 0.322 0.753 -0.353 0.545 0.108 
0.442 -0.649 0.302 0.540 0.024 -0.623 0.005 0.782 0.446 0.558 0.093 -0.694 0.636 -0.330 0.627 0.307 0.751 -0.345 0.556 0.085 
0.454 -0.640 0.324 0.529 0.042 -0.623 0.027 0.781 0.428 0.558 0.081 -0.707 0.639 -0.317 0.638 0.291 0.747 -0.336 0.570 0.063 
0.467 -0.629 0.345 0.516 0.060 -0.621 0.048 0.780 0.410 0.557 0.068 -0.719 0.642 -0.301 0.652 0.271 0.744 -0.317 0.586 0.038 
0.479 -0.620 0.364 0.504 0.080 -0.618 0.070 0.779 0.394 0.556 0.053 -0.730 0.646 -0.278 0.667 0.246 0.745 -0.291 0.600 0.011 
0.492 -0.608 0.384 0.491 0.099 -0.614 0.092 0.778 0.380 0.554 0.036 -0.740 0.651 -0.252 0.681 0.221 0.747 -0.264 0.610 -0.016 
0.505 -0.595 0.401 0.479 0.114 -0.608 0.110 0.778 0.372 0.554 0.017 -0.745 0.656 -0.226 0.692 0.198 0.748 -0.240 0.617 -0.044 
0.516 -0.583 0.416 0.469 0.123 -0.603 0.126 0.778 0.371 0.551 0.003 -0.748 0.663 -0.203 0.698 0.178 0.747 -0.219 0.624 -0.071 
0.527 -0.573 0.427 0.460 0.128 -0.599 0.137 0.779 0.374 0.546 -0.004 -0.750 0.669 -0.183 0.703 0.159 0.745 -0.201 0.629 -0.095 
0.534 -0.566 0.435 0.453 0.129 -0.594 0.144 0.781 0.381 0.539 -0.003 -0.751 0.672 -0.167 0.708 0.141 0.748 -0.181 0.627 -0.120 
0.538 -0.563 0.440 0.446 0.129 -0.590 0.148 0.783 0.389 0.532 0.004 -0.752 0.674 -0.153 0.712 0.124 0.753 -0.168 0.622 -0.136 
0.539 -0.564 0.442 0.443 0.128 -0.588 0.149 0.785 0.397 0.527 0.009 -0.752 0.677 -0.149 0.712 0.113 0.756 -0.166 0.618 -0.141 
0.537 -0.567 0.442 0.441 0.125 -0.586 0.149 0.787 0.406 0.521 0.013 -0.751 0.680 -0.153 0.708 0.111 0.757 -0.174 0.613 -0.143 
0.534 -0.571 0.444 0.438 0.121 -0.584 0.148 0.789 0.419 0.514 0.018 -0.748 0.684 -0.160 0.703 0.112 0.758 -0.190 0.607 -0.143 
0.532 -0.574 0.444 0.437 0.112 -0.581 0.147 0.793 0.438 0.503 0.027 -0.745 0.688 -0.172 0.696 0.116 0.757 -0.211 0.602 -0.143 
0.530 -0.576 0.446 0.434 0.101 -0.575 0.142 0.799 0.461 0.486 0.038 -0.742 0.689 -0.181 0.691 0.123 0.757 -0.232 0.594 -0.146 
0.530 -0.577 0.449 0.430 0.091 -0.566 0.138 0.808 0.491 0.461 0.047 -0.737 0.691 -0.187 0.686 0.132 0.756 -0.251 0.585 -0.152 
0.529 -0.576 0.453 0.428 0.075 -0.552 0.135 0.819 0.528 0.426 0.059 -0.733 0.694 -0.190 0.679 0.145 0.756 -0.275 0.570 -0.166 
0.531 -0.573 0.457 0.426 0.055 -0.530 0.135 0.835 0.565 0.381 0.071 -0.728 0.699 -0.193 0.670 0.160 0.759 -0.296 0.549 -0.187 
0.534 -0.571 0.457 0.424 0.027 -0.496 0.133 0.858 0.605 0.327 0.090 -0.720 0.710 -0.199 0.653 0.174 0.764 -0.312 0.519 -0.222 
0.535 -0.572 0.457 0.422 -0.002 -0.455 0.129 0.881 0.644 0.262 0.121 -0.708 0.724 -0.198 0.635 0.182 0.773 -0.320 0.478 -0.269 
0.534 -0.574 0.457 0.420 -0.027 -0.410 0.129 0.902 0.672 0.194 0.156 -0.698 0.741 -0.199 0.614 0.185 0.778 -0.332 0.431 -0.315 
0.530 -0.576 0.457 0.422 -0.036 -0.365 0.141 0.920 0.683 0.132 0.182 -0.695 0.759 -0.213 0.586 0.188 0.773 -0.362 0.381 -0.355 
0.524 -0.576 0.458 0.429 -0.030 -0.322 0.169 0.931 0.682 0.074 0.196 -0.701 0.771 -0.239 0.560 0.185 0.762 -0.400 0.324 -0.393 
0.510 -0.582 0.457 0.438 -0.016 -0.283 0.211 0.935 0.670 0.014 0.193 -0.717 0.788 -0.275 0.523 0.174 0.746 -0.435 0.258 -0.433 
0.497 -0.590 0.455 0.445 -0.007 -0.253 0.273 0.928 0.649 -0.052 0.174 -0.739 0.800 -0.336 0.473 0.157 0.721 -0.471 0.187 -0.473 
0.495 -0.590 0.456 0.446 -0.003 -0.223 0.345 0.912 0.621 -0.121 0.144 -0.761 0.808 -0.390 0.422 0.129 0.693 -0.492 0.113 -0.515 
0.497 -0.591 0.461 0.437 -0.001 -0.193 0.413 0.890 0.592 -0.187 0.104 -0.777 0.814 -0.436 0.372 0.097 0.672 -0.489 0.031 -0.555 
0.497 -0.593 0.466 0.429 0.001 -0.171 0.474 0.864 0.566 -0.251 0.062 -0.783 0.818 -0.466 0.330 0.066 0.649 -0.481 -0.044 -0.588 
0.494 -0.597 0.468 0.426 0.010 -0.159 0.527 0.835 0.536 -0.317 0.021 -0.782 0.824 -0.476 0.304 0.042 0.623 -0.476 -0.114 -0.610 
0.494 -0.599 0.471 0.419 0.031 -0.147 0.572 0.806 0.504 -0.381 -0.016 -0.775 0.825 -0.483 0.291 0.030 0.598 -0.475 -0.180 -0.620 
0.497 -0.600 0.475 0.409 0.064 -0.134 0.617 0.773 0.465 -0.445 -0.042 -0.764 0.823 -0.494 0.277 0.036 0.576 -0.473 -0.237 -0.623 
0.498 -0.602 0.478 0.401 0.109 -0.118 0.663 0.731 0.410 -0.516 -0.051 -0.750 0.815 -0.512 0.263 0.064 0.563 -0.466 -0.287 -0.619 
0.498 -0.605 0.480 0.395 0.163 -0.100 0.707 0.681 0.342 -0.577 -0.072 -0.738 0.796 -0.542 0.246 0.114 0.559 -0.453 -0.346 -0.602 
0.499 -0.605 0.484 0.389 0.216 -0.082 0.745 0.626 0.264 -0.617 -0.105 -0.734 0.759 -0.586 0.223 0.179 0.562 -0.459 -0.396 -0.563 
0.511 -0.596 0.490 0.380 0.260 -0.066 0.771 0.578 0.192 -0.627 -0.145 -0.741 0.715 -0.628 0.202 0.232 0.568 -0.477 -0.437 -0.508 
0.515 -0.591 0.496 0.373 0.288 -0.062 0.783 0.548 0.141 -0.616 -0.184 -0.753 0.678 -0.657 0.191 0.268 0.568 -0.507 -0.461 -0.456 
0.520 -0.586 0.502 0.365 0.304 -0.068 0.789 0.530 0.108 -0.598 -0.211 -0.765 0.652 -0.678 0.186 0.284 0.558 -0.544 -0.470 -0.414 
0.524 -0.582 0.507 0.359 0.309 -0.078 0.793 0.519 0.094 -0.583 -0.228 -0.774 0.638 -0.691 0.188 0.283 0.548 -0.572 -0.473 -0.386 
0.526 -0.581 0.510 0.355 0.302 -0.096 0.797 0.514 0.102 -0.574 -0.251 -0.773 0.630 -0.699 0.199 0.273 0.539 -0.589 -0.475 -0.369 
