1.000 -0.000 0.000 0.000 
1.000 0.001 0.018 0.009 
0.999 0.004 0.036 0.017 
0.998 0.003 0.053 0.026 
0.997 0.002 0.071 0.034 
0.995 -0.001 0.089 0.041 
0.993 -0.000 0.107 0.048 
0.991 -0.003 0.125 0.054 
0.988 -0.005 0.143 0.059 
0.985 -0.003 0.161 0.064 
0.982 0.003 0.178 0.070 
0.978 0.003 0.196 0.073 
0.974 0.005 0.214 0.077 
0.970 0.012 0.229 0.082 
0.965 0.018 0.244 0.090 
0.961 0.009 0.259 0.092 
0.956 0.005 0.275 0.097 
0.951 0.001 0.291 0.103 
0.946 -0.009 0.305 0.108 
0.942 -0.022 0.317 0.113 
0.936 -0.034 0.329 0.118 
0.931 -0.046 0.341 0.123 
0.926 -0.060 0.351 0.128 
0.920 -0.074 0.360 0.133 
0.915 -0.070 0.369 0.149 
0.909 -0.063 0.379 0.162 
0.903 -0.055 0.388 0.177 
0.896 -0.062 0.400 0.183 
0.890 -0.054 0.407 0.198 
0.885 -0.071 0.413 0.201 
0.879 -0.085 0.423 0.204 
0.871 -0.090 0.435 0.211 
0.863 -0.097 0.445 0.219 
0.855 -0.100 0.457 0.226 
0.846 -0.105 0.469 0.230 
0.838 -0.112 0.479 0.234 
0.830 -0.118 0.490 0.238 
0.823 -0.126 0.500 0.238 
0.816 -0.132 0.510 0.240 
0.807 -0.128 0.520 0.246 
0.799 -0.124 0.532 0.251 
0.792 -0.127 0.543 0.251 
0.784 -0.124 0.553 0.253 
0.776 -0.115 0.562 0.262 
0.782 -0.108 0.549 0.273 
0.778 -0.120 0.556 0.267 
0.771 -0.127 0.564 0.268 
0.764 -0.137 0.570 0.271 
0.760 -0.155 0.572 0.268 
0.756 -0.172 0.573 0.266 
0.751 -0.189 0.575 0.266 
0.746 -0.207 0.576 0.264 
0.741 -0.225 0.576 0.261 
0.739 -0.244 0.570 0.263 
0.736 -0.241 0.567 0.281 
0.726 -0.236 0.574 0.296 
0.720 -0.231 0.574 0.314 
0.716 -0.238 0.567 0.331 
0.707 -0.250 0.570 0.336 
0.704 -0.269 0.568 0.331 
0.694 -0.280 0.573 0.334 
0.685 -0.289 0.574 0.344 
0.674 -0.295 0.578 0.353 
0.665 -0.304 0.582 0.355 
0.659 -0.317 0.583 0.355 
0.651 -0.325 0.584 0.360 
0.644 -0.333 0.587 0.360 
0.637 -0.340 0.589 0.362 
0.628 -0.338 0.596 0.368 
0.621 -0.329 0.601 0.380 
0.614 -0.324 0.607 0.386 
0.609 -0.324 0.612 0.387 
0.601 -0.313 0.619 0.397 
0.594 -0.300 0.624 0.409 
0.601 -0.313 0.618 0.399 
0.603 -0.326 0.615 0.389 
0.595 -0.327 0.621 0.393 
0.599 -0.343 0.613 0.385 
0.602 -0.359 0.603 0.381 
0.602 -0.375 0.597 0.375 
0.605 -0.391 0.587 0.370 
0.605 -0.407 0.579 0.363 
0.611 -0.419 0.566 0.361 
0.614 -0.416 0.557 0.373 
0.605 -0.411 0.559 0.391 
0.595 -0.405 0.563 0.406 
0.589 -0.400 0.561 0.423 
0.586 -0.416 0.556 0.418 
0.585 -0.433 0.550 0.409 
0.581 -0.448 0.544 0.407 
0.573 -0.446 0.542 0.424 
0.565 -0.452 0.536 0.435 
0.556 -0.460 0.540 0.433 
0.561 -0.472 0.529 0.428 
0.552 -0.473 0.533 0.433 
0.545 -0.476 0.536 0.434 
0.541 -0.478 0.538 0.435 
0.533 -0.469 0.546 0.446 
0.522 -0.461 0.556 0.454 
0.525 -0.449 0.554 0.465 
0.520 -0.448 0.560 0.465 
0.511 -0.436 0.569 0.475 
0.513 -0.425 0.566 0.486 
0.520 -0.436 0.561 0.474 
0.524 -0.446 0.558 0.464 
0.520 -0.442 0.561 0.469 
0.527 -0.454 0.554 0.458 
0.534 -0.466 0.545 0.449 
0.539 -0.479 0.537 0.439 
0.542 -0.491 0.530 0.430 
0.545 -0.504 0.522 0.420 
0.554 -0.509 0.507 0.420 
0.555 -0.501 0.504 0.433 
0.542 -0.496 0.512 0.445 
0.531 -0.488 0.519 0.458 
0.520 -0.491 0.521 0.466 
0.510 -0.485 0.522 0.482 
0.517 -0.497 0.509 0.477 
0.513 -0.508 0.507 0.470 
0.501 -0.512 0.513 0.473 
0.504 -0.521 0.500 0.473 
0.493 -0.520 0.508 0.478 
0.487 -0.526 0.513 0.472 
0.486 -0.522 0.514 0.477 
